frame_id,timestamp_sec,timestamp,player,shot_type,confidence
314,10.467,00:10.47,player_4,Backhand,0.43
315,10.5,00:10.50,player_4,Smash,0.47
319,10.633,00:10.63,player_1,Forehand,0.395
322,10.733,00:10.73,player_1,Smash,0.51
322,10.733,00:10.73,player_2,Forehand,0.525
323,10.767,00:10.77,player_2,Smash,0.505
323,10.767,00:10.77,player_3,Forehand,0.445
324,10.8,00:10.80,player_1,Forehand,0.4
324,10.8,00:10.80,player_3,Smash,0.405
324,10.8,00:10.80,player_4,Forehand,0.4
325,10.833,00:10.83,player_2,Forehand,0.325
325,10.833,00:10.83,player_4,Smash,0.44
326,10.867,00:10.87,player_1,Smash,0.455
326,10.867,00:10.87,player_3,Forehand,0.47
327,10.9,00:10.90,player_1,Backhand,0.33
327,10.9,00:10.90,player_2,Smash,0.65
328,10.933,00:10.93,player_1,Smash,0.475
329,10.967,00:10.97,player_3,Backhand,0.5
330,11.0,00:11.00,player_3,Forehand,0.55
331,11.033,00:11.03,player_1,Forehand,0.36
331,11.033,00:11.03,player_3,Smash,0.505
332,11.067,00:11.07,player_1,Smash,0.685
332,11.067,00:11.07,player_3,Forehand,0.365
333,11.1,00:11.10,player_3,Smash,0.705
334,11.133,00:11.13,player_4,Forehand,0.49
335,11.167,00:11.17,player_1,Forehand,0.535
335,11.167,00:11.17,player_4,Smash,0.605
336,11.2,00:11.20,player_1,Smash,0.485
336,11.2,00:11.20,player_4,Forehand,0.6
337,11.233,00:11.23,player_1,Forehand,0.45
337,11.233,00:11.23,player_4,Smash,0.525
339,11.3,00:11.30,player_1,Smash,0.505
340,11.333,00:11.33,player_2,Other,0.355
341,11.367,00:11.37,player_2,Smash,0.6
341,11.367,00:11.37,player_3,Other,0.35
342,11.4,00:11.40,player_3,Forehand,0.405
343,11.433,00:11.43,player_3,Smash,0.77
343,11.433,00:11.43,player_4,Forehand,0.425
344,11.467,00:11.47,player_3,Forehand,0.415
344,11.467,00:11.47,player_4,Smash,0.605
345,11.5,00:11.50,player_1,Forehand,0.525
345,11.5,00:11.50,player_3,Smash,0.63
346,11.533,00:11.53,player_1,Smash,0.62
346,11.533,00:11.53,player_3,Forehand,0.595
348,11.6,00:11.60,player_1,Forehand,0.48
348,11.6,00:11.60,player_3,Smash,0.79
349,11.633,00:11.63,player_1,Smash,0.995
360,12.0,00:12.00,player_3,Forehand,0.355
361,12.033,00:12.03,player_3,Smash,0.975
364,12.133,00:12.13,player_2,Backhand,0.455
365,12.167,00:12.17,player_1,Backhand,0.565
365,12.167,00:12.17,player_2,Smash,0.665
365,12.167,00:12.17,player_3,Forehand,0.485
365,12.167,00:12.17,player_4,Forehand,0.375
366,12.2,00:12.20,player_1,Smash,0.375
366,12.2,00:12.20,player_2,Forehand,0.37
366,12.2,00:12.20,player_3,Backhand,0.56
366,12.2,00:12.20,player_4,Smash,0.63
367,12.233,00:12.23,player_1,Backhand,0.515
367,12.233,00:12.23,player_2,Other,0.44
367,12.233,00:12.23,player_3,Smash,0.46
368,12.267,00:12.27,player_1,Smash,0.46
368,12.267,00:12.27,player_2,Smash,0.485
368,12.267,00:12.27,player_3,Other,0.44
368,12.267,00:12.27,player_4,Backhand,0.45
369,12.3,00:12.30,player_1,Other,0.455
369,12.3,00:12.30,player_2,Backhand,0.53
369,12.3,00:12.30,player_3,Smash,0.385
369,12.3,00:12.30,player_4,Smash,0.53
370,12.333,00:12.33,player_1,Smash,0.47
370,12.333,00:12.33,player_2,Smash,0.33
370,12.333,00:12.33,player_3,Backhand,0.405
370,12.333,00:12.33,player_4,Forehand,0.37
371,12.367,00:12.37,player_1,Backhand,0.345
371,12.367,00:12.37,player_2,Other,0.44
371,12.367,00:12.37,player_3,Smash,0.48
371,12.367,00:12.37,player_4,Backhand,0.36
373,12.433,00:12.43,player_1,Forehand,0.405
373,12.433,00:12.43,player_2,Backhand,0.43
373,12.433,00:12.43,player_3,Backhand,0.425
373,12.433,00:12.43,player_4,Other,0.42
374,12.467,00:12.47,player_1,Backhand,0.415
374,12.467,00:12.47,player_3,Forehand,0.4
375,12.5,00:12.50,player_2,Forehand,0.545
375,12.5,00:12.50,player_3,Other,0.44
375,12.5,00:12.50,player_4,Backhand,0.42
376,12.533,00:12.53,player_1,Other,0.58
376,12.533,00:12.53,player_2,Other,0.44
376,12.533,00:12.53,player_3,Forehand,0.385
377,12.567,00:12.57,player_2,Backhand,0.465
377,12.567,00:12.57,player_3,Backhand,0.31
377,12.567,00:12.57,player_4,Other,0.655
378,12.6,00:12.60,player_1,Backhand,0.325
378,12.6,00:12.60,player_2,Other,0.705
378,12.6,00:12.60,player_4,Backhand,0.48
379,12.633,00:12.63,player_1,Other,0.73
379,12.633,00:12.63,player_2,Backhand,0.295
380,12.667,00:12.67,player_1,Backhand,0.535
380,12.667,00:12.67,player_3,Other,0.73
381,12.7,00:12.70,player_1,Smash,0.27
381,12.7,00:12.70,player_2,Other,0.645
381,12.7,00:12.70,player_3,Backhand,0.355
382,12.733,00:12.73,player_1,Backhand,0.305
382,12.733,00:12.73,player_2,Backhand,0.545
382,12.733,00:12.73,player_3,Serve,0.325
382,12.733,00:12.73,player_4,Other,0.655
383,12.767,00:12.77,player_1,Serve,0.375
383,12.767,00:12.77,player_3,Backhand,0.5
384,12.8,00:12.80,player_1,Smash,0.465
384,12.8,00:12.80,player_3,Smash,0.39
385,12.833,00:12.83,player_1,Other,0.655
385,12.833,00:12.83,player_3,Forehand,0.545
385,12.833,00:12.83,player_4,Smash,0.505
386,12.867,00:12.87,player_1,Forehand,0.54
386,12.867,00:12.87,player_2,Smash,0.505
386,12.867,00:12.87,player_3,Backhand,0.475
386,12.867,00:12.87,player_4,Other,0.66
387,12.9,00:12.90,player_2,Backhand,0.505
387,12.9,00:12.90,player_3,Smash,0.52
388,12.933,00:12.93,player_1,Backhand,0.48
388,12.933,00:12.93,player_2,Forehand,0.465
389,12.967,00:12.97,player_1,Forehand,0.485
389,12.967,00:12.97,player_2,Smash,0.48
389,12.967,00:12.97,player_3,Backhand,0.425
390,13.0,00:13.00,player_1,Other,0.51
390,13.0,00:13.00,player_2,Forehand,0.41
390,13.0,00:13.00,player_3,Smash,0.365
391,13.033,00:13.03,player_2,Other,0.725
391,13.033,00:13.03,player_3,Other,0.555
403,13.433,00:13.43,player_1,Smash,0.35
403,13.433,00:13.43,player_4,Smash,0.475
404,13.467,00:13.47,player_3,Smash,0.355
404,13.467,00:13.47,player_4,Other,0.485
405,13.5,00:13.50,player_2,Smash,0.6
405,13.5,00:13.50,player_3,Other,0.54
406,13.533,00:13.53,player_1,Forehand,0.435
406,13.533,00:13.53,player_4,Smash,0.62
